rc_on,t_timestamp,latitude,longitude,,,satellites_used
1,2018-06-28_08:07:08.827,60.10706262,19.92405708,,,4
1,2018-06-28_08:07:09.827,60.10706262,19.92405708,,,4
1,2018-06-28_08:07:10.828,60.10705084,19.92405095,,,6
1,2018-06-28_08:07:11.828,60.10705084,19.92405095,,,6
1,2018-06-28_08:07:18.351,60.1070779,19.92401249,,,6
1,2018-06-28_08:07:19.351,60.10709518,19.92400784,,,6
1,2018-06-28_08:07:20.351,60.10710249,19.92401397,,,6
1,2018-06-28_08:07:21.351,60.10710249,19.92401397,,,6
1,2018-06-28_08:07:22.351,60.10711694,19.92400319,,,6
1,2018-06-28_08:07:23.351,60.10712425,19.92400932,,,6
1,2018-06-28_08:07:24.351,60.10713422,19.92399854,,,6
1,2018-06-28_08:07:25.351,60.10712975,19.92399854,,,6
1,2018-06-28_08:07:26.351,60.10713706,19.92400467,,,6
1,2018-06-28_08:07:27.352,60.10714703,19.92399389,,,6
1,2018-06-28_08:07:28.352,60.10715434,19.92400002,,,6
1,2018-06-28_08:07:29.352,60.10715699,19.92398312,,,6
1,2018-06-28_08:07:30.352,60.10716431,19.92398925,,,6
1,2018-06-28_08:07:31.352,60.10717428,19.92397847,,,7
1,2018-06-28_08:07:32.352,60.10719156,19.92397382,,,7
1,2018-06-28_08:07:33.352,60.10720153,19.92396304,,,7
1,2018-06-28_08:07:34.352,60.10721597,19.92395227,,,8
1,2018-06-28_08:07:35.352,60.10723325,19.92394762,,,8
1,2018-06-28_08:07:36.352,60.1072359,19.92393071,,,8
1,2018-06-28_08:07:37.352,60.10724322,19.92393684,,,9
1,2018-06-28_08:07:38.352,60.10724587,19.92391994,,,9
1,2018-06-28_08:07:39.352,60.10725584,19.92390916,,,9
1,2018-06-28_08:07:40.352,60.10725584,19.92390916,,,9
1,2018-06-28_08:07:41.352,60.10725849,19.92389226,,,9
1,2018-06-28_08:07:42.353,60.10726114,19.92387535,,,9
1,2018-06-28_08:07:43.353,60.10727111,19.92386458,,,8
1,2018-06-28_08:07:44.353,60.10726929,19.92384768,,,8
1,2018-06-28_08:07:45.353,60.10727194,19.92383077,,,8
1,2018-06-28_08:07:46.353,60.10727459,19.92381387,,,8
1,2018-06-28_08:07:47.353,60.10727277,19.92379697,,,8
1,2018-06-28_08:07:48.353,60.10728274,19.92378619,,,8
1,2018-06-28_08:07:49.353,60.10728539,19.92376929,,,9
1,2018-06-28_08:07:50.353,60.10728539,19.92376929,,,9
1,2018-06-28_08:07:51.353,60.10730714,19.92376464,,,9
1,2018-06-28_08:07:52.353,60.10730714,19.92376464,,,9
1,2018-06-28_08:07:53.353,60.10731976,19.92373696,,,9
1,2018-06-28_08:07:54.353,60.10732708,19.92374308,,,9
1,2018-06-28_08:07:55.353,60.10732973,19.92372618,,,8
1,2018-06-28_08:07:56.354,60.1073397,19.9237154,,,8
