time,latitude,longitude,satellites_used
2018-06-11_12:10:47.18,60.10340706,19.92946051,3
2018-06-11_12:10:48.18,60.10338796,19.92944826,3
2018-06-11_12:10:49.18,60.1033886,19.92939143,3
2018-06-11_12:10:50.18,60.10353403,19.92927293,3
2018-06-11_12:10:51.18,60.10307664,19.92917844,3
2018-06-11_12:10:52.19,60.10307664,19.92917844,3
2018-06-11_12:10:53.19,60.10344856,19.92941129,3
2018-06-11_12:10:54.19,60.10341895,19.92927925,3
2018-06-11_12:10:55.19,60.10341895,19.92927925,3
2018-06-11_12:10:56.19,60.10350587,19.92944806,3
2018-06-11_12:10:57.19,60.10336831,19.92930544,3
2018-06-11_12:10:58.19,60.10336831,19.92930544,3
2018-06-11_12:10:59.19,60.10334198,19.92949748,3
2018-06-11_12:11:00.19,60.10341035,19.92938678,3
2018-06-11_12:11:01.19,60.10341035,19.92938678,3
2018-06-11_12:11:02.19,60.10334061,19.92940072,3
2018-06-11_12:11:03.19,60.10343476,19.92936524,3
2018-06-11_12:11:04.19,60.10343476,19.92936524,3
2018-06-11_12:11:05.19,60.10338284,19.92950509,3
2018-06-11_12:11:06.20,60.1034077,19.92940368,3
2018-06-11_12:11:07.20,60.1034077,19.92940368,3
2018-06-11_12:11:08.20,60.10338549,19.92948819,3
2018-06-11_12:11:09.20,60.10350652,19.92939123,3
2018-06-11_12:11:10.20,60.10350652,19.92939123,3
2018-06-11_12:11:11.20,60.10351831,19.92939736,3
2018-06-11_12:11:12.20,60.10355715,19.92936504,3
2018-06-11_12:11:13.20,60.10355715,19.92936504,3
2018-06-11_12:11:14.20,60.10348942,19.9294189,3
2018-06-11_12:11:15.20,60.10345323,19.92943432,3
2018-06-11_12:11:16.20,60.10345323,19.92943432,3
2018-06-11_12:11:17.20,60.10354537,19.92935891,3
2018-06-11_12:11:18.20,60.10343878,19.9294451,3
2018-06-11_12:11:19.20,60.10343878,19.9294451,3
2018-06-11_12:11:20.21,60.10337818,19.92948206,3
2018-06-11_12:11:21.21,60.10331492,19.92953592,3
2018-06-11_12:11:22.21,60.10331492,19.92953592,3
2018-06-11_12:11:23.21,60.10343147,19.92943897,3
2018-06-11_12:11:24.21,60.10343878,19.9294451,3
2018-06-11_12:11:25.21,60.10343878,19.9294451,3
2018-06-11_12:11:26.21,60.10337818,19.92948206,3
2018-06-11_12:11:27.21,60.10350185,19.9293682,3
2018-06-11_12:11:28.21,60.10350185,19.9293682,3
2018-06-11_12:11:29.21,60.10335377,19.92950361,3
2018-06-11_12:11:30.21,60.10348741,19.92937898,3
2018-06-11_12:11:31.21,60.10348741,19.92937898,3
2018-06-11_12:11:32.21,60.10350459,19.92956172,3
2018-06-11_12:11:39.22,60.10342681,19.92941594,3
2018-06-11_12:11:40.22,60.10332745,19.92929783,3
2018-06-11_12:11:41.22,60.10317406,19.92946704,3
2018-06-11_12:11:42.22,60.10312937,19.9294026,3
2018-06-11_12:11:43.22,60.10313586,19.92944252,3
2018-06-11_12:11:44.22,60.10327553,19.92943768,3
2018-06-11_12:11:45.22,60.10346831,19.92936672,3
2018-06-11_12:11:46.22,60.10346831,19.92936672,3
2018-06-11_12:11:47.22,60.10334326,19.92938382,3
2018-06-11_12:11:48.22,60.10348549,19.92954947,3
2018-06-11_12:11:49.23,60.10348549,19.92954947,3
2018-06-11_12:11:50.23,60.10320378,19.92941169,3
2018-06-11_12:11:51.23,60.10328796,19.92938698,3
2018-06-11_12:11:52.23,60.10328796,19.92938698,3
2018-06-11_12:11:53.23,60.10334463,19.92948058,3
2018-06-11_12:11:54.23,60.10330313,19.9295298,3
2018-06-11_12:11:55.23,60.10330313,19.9295298,3
2018-06-11_12:11:56.23,60.10341566,19.92935298,3
2018-06-11_12:11:57.23,60.10322224,19.92948077,3
2018-06-11_12:11:58.23,60.10322224,19.92948077,3
2018-06-11_12:11:59.23,60.10333796,19.92941762,3
2018-06-11_12:12:00.23,60.10319518,19.92951922,3
2018-06-11_12:12:01.23,60.10319518,19.92951922,3
